recipient,amount,error
2YPAZSW3ie7nhy1S5CWkcjEikSf9HwLzVzT4pDwUb1MN,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
G5TnaZDhfyrdqpkxhPqgJuiUetechqUgmHUsv6nV4LSx,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9rYRsrsLp7EXKPoujam71CtpjjrnkMccz9RLeZKvx1f4,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FAQwS2h51a6Q9CkRp4UmmwJX33ZffMVTLKaxBFQxDGY8,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7vf9gzCGLqAcM2FuW9gJCjA23hBe69zWTcputvBktUvM,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
61PMTrUNTW1BP5P8mEaVX8DknrnRMy55FuKwWZYZs76P,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
67WR4rLyfMCV9J4Cpwp74GArE9aeSXoWDbscEK8yMSYA,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
5dZtPwSAwNgVDc4Nc7yiefDRNkWkDhkVSAMFiBCV2ASq,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
GhTRucReSGiGJwB5JVHVA9pyfhwchBPWhjBkE2PoAvLK,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DRXzHo4rwxEEKBHk2wKuRfKgeXRaJJ7EBxzRUiJZQ9Bo,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DTLfEG5LE3FQCkMaonNGwv2gNh8qPcL45evBMovQNJHu,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GySEGNwyKpSwaYHgre9s2ty9pezdtpzGS86XnWoujrbr,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8gJF3iWQE5UK6RiNUdu7FbBksRh2vexToc6ARPuc2LKx,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
ANNiUXwX2CVwty7mcpj46KfxCcy6aWJUFh6mSTJ49gm,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DEsGHTKfXKvfSxStWFuCac3ne6WTLvtxvzQoAUrZtpEN,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
2vUEgM97iGL5zLPx4LQu3vp2bUxArcH6K4uzAFbvu6LU,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
