recipient,amount,error
36nBAsFkcybksZeRzVszsTa2ZFuVHwRHSxahfmkQgBjj,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6p4GxTCaWfkAvxqvHGJVwKK6oJHcMCD6Qpvy2SdyAKWE,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
XpGY8utp7QDaJxhgAMoL4tgjgELVNz4eKdXD5tUwkZf,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9eGL6BDwgv8dx87f3byWjBUJXAa8SwMHWVHNTKKgqMNG,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
A1Eya5hXXNTjxXKndM6cQKSRW9LyKQ8gb5z1iraE63Ft,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3Li2xi3D4Kh1dwDM1C43hi2a4t4uPNTt28nT2tgmHTHs,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6CwqtfZ3gAzhLQaHZ5GJ4BHS9V8X4aDTTFQWYqoxEQ2o,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
7nVHR71JcAYMfXJgd6Wkd1BAQv2La6Bo4Jw6JsiGcAN1,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7EEzDEajU6ZZV6vLmamdwGMBh5Jv9xA5V93LiEYtF35w,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
67sqe4CCzaE1ddp41BPwa11bM8Ld8MFUFa96WPezqJEB,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
AZqc3GBUGAwzeVeANNJKqHsUuAAaMYqpaemv4WBLocs3,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
7wfwL4BWgjYCKvUFFtHGyieRM2f8T4Bunq1xbdyUebeH,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
5Qy5juYVBdtXAWbVrBDW7wB8UE52HqpBeCZFf1bWhUSM,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
91tnBLtmWVfqr456sQhwkhhQgKRy2v4Mv2BJPZ6Fcp43,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4dFdQLVh45EJsArB2MMmWawvHAYWA6NTdNT9LhELFkNQ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GUgta8kJUZefK71a7WvR1fmvRA2LQhoh1v3o3xYmy28G,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3qMXpaHi5RSphtBCg1xKo3VQFyGyD174CERuvXArMQFa,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
